# SPDX-License-Identifier: Unicode-DFS-2016
# Columns: Form; Pronunciation

අං	aŋ
අංජබජල්	aŋɟəbaɟal
අංජලි	aŋɟəli
අංජලිකා	aŋɟəlikaː
අංජලී	aŋɟəliː
අංජලීගේ	aŋɟəliːɡe
අංජු	aŋɟu
අංජුල	aŋɟulə
අංශ	aŋʃə
අංශක	aŋʃəkə
අංශභාග	aŋʃəbaːɡə
අංශභාගය	aŋʃəbaːɡəjə
අංශය	aŋʃəjə
අංශයක්	aŋʃəjak
අංශයට	aŋʃəjəʈə
අංශයෙන්	aŋʃəjen
අංශයේ	aŋʃəjeː
අංශවල	aŋʃəwələ
අංශවලට	aŋʃəwələʈə
අංශවලින්	aŋʃəwəlin
අංශවලින්	aŋʃəwəliŋ
අංශු	aŋʃu
අඃ	ah
අකටයුතුකම්	akaʈəjutukam
අකටයුතුකම්	akəʈəjutukam
අකමැති	akəmæti
අකමැතිනම්	akəmætinam
අකමැතිය	akəmætijə
අකමැතියි	akəmætiː
අකමැතියි	akəmætij
අකමැතිවිය	akəmætiwijə
අකමැත්ත	akəmættə
අකමැත්තක්	akəmættak
අකමැත්තෙන්	akəmætten
අකමෑති	akəmæːti
අකම්පා	akampaː
අකරතැබ්බ	akərətæbbə
අකරතැබ්බයකට	akərətæbbəjəkəʈə
අකරතැබ්බයක්	akərətæbbəjak
අකරුණාව	akarunaːwə
අකලංක	akəlaŋkə
අකලට	akələʈə
අකල්	akal
අකාරය	akaːrəjə
අකාරයෙන්ම	akaːrəjenmə
අකාරුණික	akaːrunikə
අකාර්යක්ෂම	akaːrjakʃəmə
අකාර්යක්ෂමතාව	akaːrjakʃəmətaːwə
අකාලයේ	akaːləje
අකාලික	akaːlikə
අකැප	akæpə
අකැපද	akæpədə
අකැපයි	akæpaj
අකැමැති	akəmæti
අකැමැත්ත	akəmættə
අකැමැත්තෙන්	akæmætten
අකිල	akilə
අකිලගේ	akiləɡe
අකීකරු	akiːkəru
අකුණු	akunu
අකුර	akurə
අකුරක්	akurak
අකුරට	akurəʈə
අකුරටම	akurəʈəmə
අකුරැස්ස	akuræssə
අකුරින්	akurin
අකුරු	akuru
අකුරෙන්	akuren
අකුල්	akul
අකුසල	akusələ
අකුසලය	akusələjə
අකුසලයකි	akusələjəki
අකුසලයක්	akusələjak
අකුසල්	akusal
අකෘතඥ	akrutakɲə
අක්	ak
අක්ක	akka
අක්කගෙ	akkaɡe
අක්කගේ	akkaɡe
අක්කට	akkaʈə
අක්කටයි	akkaʈaj
අක්කත්	akkat
අක්කයි	akkaj
අක්කර	akkərə
අක්කල	akkəla
අක්කලා	akkəla
අක්කා	akka
අක්කාගේ	akkaːɡeː
අක්කාට	akkaːʈə
අක්කි	akki
අක්කෙ	akke
අක්කේ	akke
අක්මාවට	akmaːwəʈə
අක්ශර	akʃərə
අක්ශේ	akʃeː
අක්ෂර	akʃərə
අක්ෂරයෙන්	akʃərəjen
අක්ෂේ	akʃeː
අඛණ්ඩ	akanɖə
අඛණ්ඩව	akanɖəwə
අඛන්ඩව	akanɖəwə
අඛිල	akilə
අග	aɡə
අගක්	aɡak
අගට	aɡəʈə
අගටම	aɡəʈəmə
අගතා	aɡətaː
අගතැන්පත්	aɡətænpat
අගතිගාමී	aɡətiɡaːmiː
අගතියට	aɡətijəʈə
අගදී	aɡədiː
අගනගරය	aɡənaɡərəjə
අගනා	aɡənaː
අගනුවර	aɡənuwərə
අගනුවරට	aɡənuwərəʈə
අගනේය	aɡəneːjə
අගභාගයේදී	aɡəbaːɡəjeːdi
අගම	aɡəmə
අගමැති	aɡəmæti
අගමැතිකම	aɡəmætikamə
අගමැතිගේ	aɡəmætiɡeː
අගමැතිට	aɡəmætiʈə
අගමැතිතුමා	aɡəmætituma
අගමැතිනිය	aɡəmætinijə
අගමැතියි	aɡəmætiji
අගමැතිව	aɡəmætiwə
අගමැතිවරයා	aɡəmætiwərəja
අගමැතිවරයාගේ	aɡəmætiwərəjaːɡeː
අගමැතිවරයාට	aɡəmætiwərəjaːʈə
අගමැතිවරයෙක්	aɡəmætiwərəjek
අගමෑති	aɡəmæːti
අගම්	aɡam
අගය	aɡəjə
අගයක	aɡəjəkə
අගයකට	aɡəjəkəʈə
අගයක්	aɡəjak
අගයන	aɡəjənə
අගයනවා	aɡəjənəwa
අගයන්	aɡəjan
අගයන්න	aɡəjannə
අගයමි	aɡəjəmi
අගරදගුරු	aɡəradəɡuru
අගලකඩ	aɡələkəɖə
අගලවත්තේ	aɡələwatteː
අගල්	aɡal
අගවිනිසුරු	aɡəwinisuru
අගසව්	aɡəsaw
අගහිඟකම්	aɡəhiᵑɡəkam
අගාධය	aɡaːdəjə
අගාධයට	aɡaːdəjəʈə
අගින්	aɡin
අගුණ	aɡunə
අගුරු	aɡuru
අගුළු	aɡulu
අගෙයි	aɡej
අගේ	aɡeː
අගේට	aɡeːʈə
අගෝස්තු	aɡoːstu
අගෞරව	aɡawrəwə
අගෞරවය	aɡawrəwəjə
අගෞරවයක්	aɡawrəwəjak
අග්ගඤ්ඤ	aɡɡaɲɲə
අග්ගලා	aɡɡəlaː
අග්නි	aɡni
අග්නිදිග	aɡnidiɡə
අග්ර	aɡrə
අග්‍ර	aɡrə
අග්රබෝධි	aɡɡrəboːdi
අග්‍රබෝධි	aɡɡrəboːdi
අග්‍රාමාත්‍යවරයා	aɡɡraːmaːttjəwərəja
අග්රාමාත්යවරයා	aɡraːmaːtjəwərəja
අග්‍රාමාත්‍යවරයා	aɡraːmaːtjəwərəja
අග්‍රාමාත්‍යවරයාගේ	aɡɡraːmaːttjəwərəjaːɡeː
අග්රාමාත්යවරයාගේ	aɡraːmaːttjəwərəjaːɡeː
අග්රාමාත්යවරයෙකුවූ	aɡɡraːmaːttjəwərəjekuuː
අග්‍රාමාත්‍යවරයෙකුවූ	aɡɡraːmaːttjəwərəjekuuː
අග්රාමාත්යවරයෙකුවූ	aɡɡraːmaːttjəwərəjekuwuː
අග්‍රාමාත්‍යවරයෙකුවූ	aɡɡraːmaːttjəwərəjekuwuː
අඟ	aᵑɡə
අඟපසඟ	aᵑɡəpasəᵑɡə
අඟර	aᵑɡərə
අඟලක්	aᵑɡəlak
අඟල්	aᵑɡal
අඟවන	aᵑɡəwənə
අඟවනවා	aᵑɡəwənəwa
අඟවන්න	aᵑɡəwannə
අඟවයි	aᵑɡəwaj
අඟවා	aᵑɡəwaː
අඟහරු	aᵑɡəharu
අඟහරුගේ	aᵑɡəharuɡe
අඟහරුට	aᵑɡəharuʈə
අඟහරුමත	aᵑɡəharumatə
අඟහරුවාදා	aᵑɡəharuwaːdaː
අඟහරුවාදාය	aᵑɡəharuwaːdaːjə
අඟුරු	aᵑɡuru
අඟුරුවලින්	aᵑɡuruwəlin
අඟුරුවාතොට	aᵑɡuruwaːtoʈə
අඟුලාන	aᵑɡulaːnə
අඟුල්	aᵑɡul
අචල	acələ
අචින්ත	acintə
අචින්ත්යයි	acintjaj
අචින්ත්‍යයි	acintjaj
අචිරවතී	acirəwətiː
අචෛතසික	acajtəsikə
අච්චර	accərə
අච්චාරු	accaːru
අච්චාරුවක්	accaːruwak
අච්චු	accu
අච්චුවේලී	accuweːli
අජන්ත	aɟantə
අජන්තා	aɟantaː
අජන්තාට	aɟantaːʈə
අජාසත්	aɟaːsat
අජාසත්ත	aɟaːsattə
අජිත්	aɟit
අජීර්ණ	aɟiːrnə
අජීවී	aɟiːwiː
අජ්ඣත්ත	aɟɟattə
අඥාන	akɲaːnə
අඤ්ඤෝ	aɲɲoː
අට	aʈə
අටක	aʈəkə
අටකට	aʈəkəʈə
අටකි	aʈəki
අටකින්	aʈəkin
අටක්	aʈak
අටට	aʈəʈə
අටමස්ථාන	aʈəmastaːnə
අටයි	aʈaj
අටලෝ	aʈəloː
අටවක	aʈəwəkə
අටවන	aʈəwənə
අටවපු	aʈəwəpu
අටවා	aʈəwaː
අටවැනි	aʈəwæni
අටවැන්න	aʈəwænnə
අටවැන්නට	aʈəwænnəʈə
අටවැන්නාධිපති	aʈəwænnaːdipati
අටවැන්නේ	aʈəwænne
අටවිසි	aʈəwisi
අටවිසියක්	aʈəwisijak
අටවෙනි	aʈəweni
අටසිල්	aʈəsil
අටුවා	aʈuwaː
අටුවාව	aʈuwaːwə
අටුවාවෙන්	aʈuwaːwen
අටේ	aʈeː
අඩ	aɖə
අඩංගු	aɖaŋɡu
අඩංගුය	aɖaŋɡujə
අඩංගුයි	aɖaŋɡui
අඩංගුව	aɖaŋɡuwə
අඩංගුවට	aɖaŋɡuwəʈə
අඩකට	aɖəkəʈə
අඩක්	aɖak
අඩක්ම	aɖakmə
අඩන	aɖənə
අඩන්ගු	aɖanɡu
අඩන්ගුවට	aɖaŋɡuwəʈə
අඩපණ	aɖəpanə
අඩවි	aɖəwi
අඩවිද	aɖəwidə
අඩවිය	aɖəwijə
අඩවියක	aɖəwijəkə
අඩවියකින්	aɖəwijəkin
අඩවියක්	aɖəwijak
අඩවියට	aɖəwijəʈə
අඩවියටත්	aɖəwijəʈat
අඩවියත්	aɖəwijat
අඩවියෙ	aɖəwije
අඩවියෙන්	aɖəwijen
අඩවියේ	aɖəwije
අඩවිවල	aɖəwiwələ
අඩා	aɖaː
අඩාල	aɖaːlə
අඩි	aɖi
අඩිතාලම	aɖitaːləmə
අඩිපාරේ	aɖipaːreː
අඩිය	aɖijə
අඩියක	aɖijəkə
අඩියකට	aɖijəkəʈə
අඩියක්	aɖijak
අඩියතාමත්	aɖijətaːmat
අඩියේ	aɖijeː
අඩු	aɖu
අඩුකම	aɖukamə
අඩුකර	aɖukərə
අඩුකරන	aɖukərənə
අඩුකරන්න	aɖukərannə
අඩුකරන්නට	aɖukərannəʈə
අඩුකිරීම	aɖukiriːmə
අඩුගානෙ	aɖuɡaːne
අඩුගානේ	aɖuɡaːne
අඩුපාඩු	aɖupaːɖu
අඩුපාඩුකම්	aɖupaːɖukam
අඩුපාඩුත්	aɖupaːɖut
අඩුපාඩුව	aɖupaːɖuwə
අඩුපාඩුවක්	aɖupaːɖuwak
අඩුම	aɖumə
අඩුය	aɖujə
අඩුයි	aɖui
අඩුයිනේ	aɖuineː
අඩුව	aɖuwə
අඩුවකට	aɖuwəkəʈə
අඩුවක්	aɖuwak
අඩුවට	aɖuwəʈə
අඩුවත්	aɖuwat
අඩුවන	aɖuwənə
අඩුවිය	aɖuwijə
අඩුවී	aɖuwiː
අඩුවීම	aɖuwiːmə
අඩුවීමක්	aɖuwiːmak
අඩුවීමට	aɖuwiːməʈə
අඩුවුණා	aɖuunaː
අඩුවුණා	aɖuwunaː
අඩුවෙන	aɖuwenə
අඩුවෙනවා	aɖuwenəwa
අඩුවෙනි	aɖuweni
අඩුවෙන්	aɖuwen
අඩුවෙමින්	aɖuwemin
අඩුවෙයි	aɖuwej
අඩුවෙලා	aɖuwelaː
අඩුවේ	aɖuweː
අඩෙ	aɖe
අඩේ	aɖeː
අඩෝ	aɖoː
අණ	anə
අණට	anəʈə
අණදෙන	anədenə
අණසක	anəsəkə
අණසකට	anəsəkəʈə
අණු	anu
අණුක	anukə
අඬ	aⁿɖə
අඬදබර	aⁿɖədabərə
අඬන	aⁿɖənə
අඬනව	aⁿɖənəwa
අඬනවා	aⁿɖənəwa
අඬන්න	aⁿɖannə
අඬන්නට	aⁿɖannəʈə
අඬන්නෙ	aⁿɖanne
අඬන්නේ	aⁿɖanne
අඬපු	aⁿɖəpu
අඬබෙර	aⁿɖəberə
අඬමින්	aⁿɖəmin
අඬල	aⁿɖəla
අඬලා	aⁿɖəla
අඬහැර	aⁿɖəhærə
අඬා	aⁿɖaː
අඬු	aⁿɖu
අත	atə
අතඅරින්නෙ	atəarinne
අතඇරලා	atəærəlaː
අතක	atəkə
අතකට	atəkəʈə
අතකින්	atəkin
අතක්	atak
අතක්වත්	atakwat
අතගසයි	atəɡasaj
අතගා	atəɡaː
අතගාල	atəɡaːla
අතගාලා	atəɡaːla
අතට	atəʈə
අතටම	atəʈəmə
අතන	atənə
අතපත	atəpatə
අතපත්තු	atəpattu
අතපය	atəpajə
අතපසු	atəpasu
අතපසුවීම	atəpasuwiːmə
අතපසුවීම්	atəpasuwiːm
අතමිට	atəmiʈə
අතර	atərə
අතරට	atərəʈə
අතරතුර	atərəturə
අතරතුරදී	atərəturədi
අතරතුරදීය	atərəturədiːjə
අතරතුරය	atərəturəjə
අතරතුරේ	atərətureː
අතරතුරේදී	atəratureːdiː
අතරත්	atərat
අතරද	atərədə
අතරම	atərəmə
අතරමං	atərəmaŋ
අතරමග	atərəmaɡə
අතරමගදී	atərəmaɡədi
අතරමඟ	atərəmaᵑɡə
අතරමඟදී	atərəmaᵑɡədi
අතරමන්	atərəman
අතරමැදි	atərəmædi
අතරමැදියා	atərəmædija
අතරමැදියාට	atərəmædijaːʈə
අතරය	atərəjə
අතරයි	atəraj
අතරවාරයේ	atərəwaːrəje
අතරවාරයේදී	atərəwaːrəjeːdiː
අතරින්	atərin
අතරෙ	atəre
අතරෙත්	atəret
අතරෙදි	atəredi
අතරෙන්	atəren
අතරෙහි	atərehi
අතරේ	atəreː
අතරේදී	atəreːdiː
අතලොස්සක්	atəlossak
අතවත්	atəwat
අතවර	atəwərə
අතවරයට	atəwərəjəʈə
අතවැස්සෝ	atəwæssoː
අතහරින්න	atəharinnə
අතහරින්නේ	atəharinneː
අතහැර	atəhærə
අතහැරල	atəhærəla
අතහැරලා	atəhærəla
අතහැරියා	atəhærija
අතහැරීම	atəhæriːmə
අතහිත	atəhitə
අතාරිනවා	ataːrinəwa
අතාරින්න	ataːrinnə
අතාරින්නෙ	ataːrinne
අතාරින්නේ	ataːrinneː
අතාර්කික	ataːrkikə
අතාර්ථවත්	ataːrtəwat
අතැඟිලි	atæᵑɡili
අතැතිව	atætiwə
අතැඹුලක්	atæᵐbulak
අතැර	atærə
අතැරලා	atærəla
අතෑරල	atæːrəla
අතෑරලා	atæːrəla
අති	ati
අතිකාල	atikaːlə
අතිගරු	atiɡaru
අතිජාත	atiɟaːtə
අතිනත	atinatə
අතිනි	atini
අතිනුත්	atinut
අතින්	atin
අතින්ද	atində
අතින්ම	atinmə
අතිපුජනීය	atipuɟəniːjə
අතිමහත්	atimahat
අතිමහත්ය	atimahatjə
අතිරික්ත	atiriktə
අතිරික්තයක්	atiriktəjak
අතිරේක	atireːkə
අතිවිශාල	atiwiʃaːlə
අතිවිශිෂ්ඨයි	atiwiʃiʃʈaj
අතිවිෂිශ්ට	atiwiʃiʃʈə
අතිශය	atiʃəjə
අතිශයින්	atiʃəin
අතිශයින්ම	atiʃəinmə
අතිශයෝක්තියක්	atiʃəjoːktijak
අතිශයෝක්තියට	atiʃəjoːktijəʈə
අතිසාර්ථක	atisaːrtəkə
අතීත	atiːtə
අතීතය	atiːtəjə
අතීතයක	atiːtəjəkə
අතීතයකට	atiːtəjəkəʈə
අතීතයක්	atiːtəjak
අතීතයට	atiːtəjəʈə
අතීතයත්	atiːtəjat
අතීතයෙන්	atiːtəjen
අතීතයෙහි	atiːtəjehi
අතීතයේ	atiːtəje
අතීතයේදී	atiːtəjeːdi
අතු	atu
අතුකෝරල	atukoːrələ
අතුකෝරාල	atukoːraːlə
අතුගා	atuɡaː
අතුගානව	atuɡaːnəwa
අතුගානවා	atuɡaːnəwa
අතුගාල	atuɡaːla
අතුගෑවිලා	atuɡæːwila
අතුගෑවී	atuɡæːwiː
අතුරලියේ	aturəlijeː
අතුරා	aturaː
අතුරාගෙන	aturaːɡenə
අතුරින්	aturin
අතුරු	aturu
අතුරුගිරිය	aturuɡirijə
අතුරුදන්	aturudan
අතුරුදන්ව	aturudanwə
අතුරුදහන්	aturudahan
අතුරුදහන්ව	aturudahanwə
අතුරුදහන්වීම්	aturudahanwiːm
අතුරුඵල	aturupalə
අතුරෙන්	aturen
අතුල	atulə
අතුවල	atuwələ
අතෘප්තිකර	atruptikərə
අතෘප්තිය	atruptijə
අතෙකින්	atekin
අතෙහි	atehi
අතේ	ateː
අත්	at
අත්අඩංගුවට	ataɖaŋɡuwəʈə
අත්අඩංගුවේ	ataɖaŋɡuweː
අත්කර	atkərə
අත්ත	attə
අත්තක	attəkə
අත්තක්	attak
අත්තටම	attəʈəmə
අත්තනගල්ල	attənəɡallə
අත්තනායක	attənaːjəkə
අත්තනෝමතික	attənoːmatikə
අත්තම්මා	attammaː
අත්තා	atta
අත්තිවාරම	attiwaːrəmə
අත්තිවාරමක්	attiwaːrəmak
අත්තෙන්	atten
අත්තේ	atteː
අත්දැක	atdækə
අත්දැකිම්	atdækim
අත්දැකීම	atdækiːmə
අත්දැකීමකට	atdækiːməkəʈə
අත්දැකීමකි	atdækiːməki
අත්දැකීමක්	addækiːmak
අත්දැකීමට	atdækiːməʈə
අත්දැකීමත්	atdækiːmat
අත්දැකීමෙන්	atdækiːmen
අත්දැකීමෙන්ම	atdækiːmenmə
අත්දැකීම්	atdækiːm
අත්දැකීම්වලට	atdækiːmwələʈə
අත්දැකීම්වලින්	atdækiːmwəlin
අත්දුටු	atduʈu
අත්දෙක	atdekə
අත්පත්	atpat
අත්පා	atpaː
අත්පොත	atpotə
අත්පොත්	atpot
අත්පොලසන්	atpoləsan
අත්භූත	atbuːtə
අත්මිදුන	atmidunə
අත්යන්තයෙන්	attjantəjen
අත්‍යන්තයෙන්	attjantəjen
අත්යාවශ්ය	atjaːwaʃjə
අත්‍යාවශ්‍ය	attjaːwaʃʃjə
අත්යාවශ්යම	attjaːwaʃʃjəmə
අත්‍යාවශ්‍යම	attjaːwaʃʃjəmə
අත්ල	atlə
අත්ලාන්තික්	atlaːntik
අත්වන	atwənə
අත්වන්නේ	atwanneː
අත්වල	atwələ
අත්වැලක්	atwælak
අත්වැල්	atwæl
අත්විඳ	atwiⁿdə
අත්විඳි	atwiⁿdi
අත්විඳින	atwiⁿdinə
අත්විඳින්න	atwiⁿdinnə
අත්විඳින්නට	atwiⁿdinnəʈə
අත්විඳින්නේ	atwiⁿdinne
අත්විඳිමින්	atwiⁿdimin
අත්විඳිය	atwiⁿdijə
අත්විඳීමට	atwiⁿdiːməʈə
අත්වූ	atuː
අත්වේ	atweː
අත්වේවා	atweːwaː
අත්සන	atsənə
අත්සනින්	atsənin
අත්සන්	atsan
අත්හදා	athadaː
අත්හරිනවා	atharinəwa
අත්හරින්න	atharinnə
අත්හල	athalə
අත්හළ	athalə
අත්හැර	athærə
අත්හැරලා	athærəla
අත්හැරියේ	athærije
අත්හැරීම	athæriːmə
අත්හිටුවා	athiʈuwaː
අද	adə
අදට	adəʈə
අදටත්	adəʈat
අදටද	adəʈədə
අදත්	adat
අදද	adədə
අදනම්	adənam
අදපොඩි	adəpoɖi
අදම	adəmə
අදමයි	adəmaj
අදයි	adaj
අදවන	adəwənə
අදහගෙන	adahaɡenə
අදහති	adəhati
අදහන	adahanə
අදහනවා	adahanəwa
අදහනවා	adəhanəwa
අදහනවානම්	adahanəwaːnam
අදහනවානම්	adəhanəwaːnam
අදහන්න	adahannə
අදහන්න	adəhannə
අදහන්නන්	adahannan
අදහන්නන්	adəhannan
අදහන්නෙ	adəhanne
අදහන්නේ	adəhanneː
අදහන්නේක්ගේම	adahannekɡeːmə
අදහන්නේක්ගේම	adəhanneːkɡeːmə
අදහපු	adahapu
අදහස	adəhasə
අදහසකට	adəhasəkəʈə
අදහසකි	adəhasəki
අදහසකින්	adəhasəkin
අදහසකුත්	adahasəkut
අදහසකුත්	adəhasəkut
අදහසක්	adəhasak
අදහසක්ද	adəhasakdə
අදහසට	adəhasəʈə
අදහසත්	adahasat
අදහසත්	adəhasat
අදහසද	adəhasədə
අදහසනම්	adahasənam
අදහසම	adəhasəmə
අදහසය	adahasəjə
අදහසයි	adahasaj
අදහසිනි	adəhasini
අදහසින්	adahasin
අදහසින්	adəhasin
අදහසුත්	adahasut
අදහසුත්	adəhasut
අදහසේ	adahaseː
අදහස්	adəhas
අදහස්ද	adahasdə
අදහස්ද	adəhasdə
අදහස්පැහැදිලි	adahaspæhædili
අදහස්වලට	adahaswələʈə
අදහස්වලට	adəhaswələʈə
අදහා	adahaː
අදහා	adəhaː
අදහාගත	adəhaːɡatə
අදායම	adaːjəmə
අදායමක්	adaːjəmak
අදායමෙන්	adaːjəmen
අදාල	adaːlə
අදාලය	adaːləjə
අදාලයි	adaːlaj
අදාලව	adaːləwə
අදාළ	adaːlə
අදාළය	adaːləjə
අදාළයි	adaːlaj
අදාළව	adaːləwə
අදිකාරම	adikaːrəmə
අදිකාරම්	adikaːram
අදිකාරම්ගේ	adikaːramɡe
අදිටනින්	adiʈənin
අදිටන්	adiʈan
අදිත	aditə
අදින	adinə
අදිනවා	adinəwa
අදින්	adin
අදින්න	adinnə
අදින්නෙ	adinne
අදින්නෙත්	adinnet
අදින්නේ	adinne
අදිපති	adipəti
අදියර	adijərə
අදියරට	adijərəʈə
අදියරය	adijərəjə
අදියරේ	adijəreː
අදිසි	adisi
අදී	adiː
අද්දර	addərə
අද්දැකීම්	addækiːm
අද්දිට්ඨ	addiʈʈə
අද්භුත	adbutə
අද්භූත	adbuːtə
අද්මිරාල්	admiraːl
අද්යාපන	addjaːpənə
අද්විතීය	adwitiːjə
අද්විතීයය	adwitiːjə
අධම	adəmə
අධමයන්	adəməjan
අධර්මය	adarməjə
අධර්මිෂ්ඨ	adarmiʃʈə
අධාර්මික	adaːrmikə
අධි	adi
අධිඅරක්ෂක	adiarakʃəkə
අධික	adikə
අධිකය	adikəjə
අධිකයි	adikaj
අධිකරණ	adikərənə
අධිකරණය	adikərənəjə
අධිකරණයට	adikərənəjəʈə
අධිකරණයෙන්	adikarənəjen
අධිකරණයේ	adikərənəjeː
අධිකරනයෙන්	adikərənəjen
අධිකව	adikəwə
අධිකාරම්	adikaːram
අධිකාරි	adikaːri
අධිකාරිය	adikaːrijə
අධිකාරියට	adikaːrijəʈə
අධිකාරියේ	adikaːrijeː
අධිකාරී	adikaːriː
අධිගෘහිත	adiɡɡruhitə
අධිනීතිඥ	adiniːtikɲə
අධිපති	adipati
අධිපති	adipəti
අධිපතිත්වය	adipatitwəjə
අධිපතියා	adipatijaː
අධිපතිවරයා	adipatiwərəja
අධිපත්	adipat
අධිරාජයා	adiraːɟəjaː
අධිරාජ්	adiraːɟ
අධිවේග	adiweːɡə
අධිවේගී	adiweːɡiː
අධිශ්රේණි	adiʃreːni
අධිශ්‍රේණි	adiʃreːni
අධිෂ්ඨාන	adiʃʈaːnə
අධිෂ්ඨානය	adiʃʈaːnəjə
අධිෂ්ඨානයක්	adiʃʈaːnəjak
අධිෂ්ඨානයෙන්	adiʃʈaːnəjen
අධිෂ්ඨානශීලී	adiʃʈaːnəʃiːliː
අධිෂ්ඨානශීලීව	adiʃʈaːnəʃiːliːwə
අධීක්ෂණය	adiːkʃənəjə
අධෛර්ය	adajrjə
අධෛර්යට	adajrjəʈə
අධෛර්යමත්	adajrjəmat
අධෝ	adoː
අධ්‍යක්ෂ	addjakʃə
අධ්යක්ෂ	adjakʃə
අධ්‍යක්ෂ	adjakʃə
අධ්යක්ෂක	addjakʃəkə
අධ්යක්ෂකනම්	addjakʃəkənam
අධ්‍යක්ෂකවරයෙක්	addjakʃəkəwərəjek
අධ්යක්ෂණය	addjakʃənəjə
අධ්‍යක්ෂණය	addjakʃənəjə
අධ්යක්ෂණයක්	addjakʃənəjak
අධ්‍යක්ෂණයක්	addjakʃənəjak
අධ්යක්ෂලාත්	addjakʃəlaːt
අධ්යක්ෂවරයාගේ	addjakʃəwərəjaːɡeː
අධ්‍යක්ෂවරයාගේ	addjakʃəwərəjaːɡeː
අධ්යක්ෂවරයෙක්	addjakʃəwərəjek
අධ්යයන	addjəjənə
අධ්‍යයන	addjəjənə
අධ්යාත්මික	addjaːtmikə
අධ්‍යාත්මික	addjaːtmikə
අධ්යාපන	addjaːpənə
අධ්‍යාපන	addjaːpənə
අධ්‍යාපනය	addjaːpənəjə
අධ්යාපනය	adjaːpənəjə
අධ්‍යාපනය	adjaːpənəjə
අධ්යාපනයට	addjaːpənəjəʈə
අධ්‍යාපනයට	addjaːpənəjəʈə
අධ්යාපනයෙනි	addjaːpənəjeni
අධ්යාපනික	addjaːpənikə
අධ්‍යාපනික	addjaːpənikə
අන	anə
අනං	anaŋ
