Form	Pronunciation
äbtissinne	æptisinə
abus	ɑbyː
Abuse	ɑbyːə
Abusen	ɑbyːən
acceleratioun	ɑkseləʁɑt͡sjəʊ̯n
acceleratiounen	ɑksæləʁaːt͡sjəʊ̯nən
acceleréier	ɑkseləʁɜɪ̯ɐ
acceleréiere	ɑkseləʁɜɪ̯əʁə
accent	ɑksɑ̃ː
accentuéier	ɑksɑ̃ːtyɜɪ̯ɐ
accentuéiere	ɑksɑ̃ːtyɜɪ̯əʁə
accentuéieren	ɑksɑ̃ːtyɜɪ̯əʁən
accès	ɑksɛː
accèse	ɑksɛːə
accèsen	ɑksɛːən
accessibeles	ɑksæsibələs
accident	ɑksidænt
accisë	ɑksiːzə
Accisen	ɑksiːzən
accord	ɑkɔːʁ
accouchéiere	ɑkuʃɜɪ̯əʁə
accouchéieren	ɑkuʃɜɪ̯əʁən
Accouchement	ɑkuʃəmænt
accroc	ɑkʁoː
accueil	ɑkœj
accueile	ɑkœjə
accueilen	ɑkœjən
accumuléiere	ɑkymylɜɪ̯əʁə
accumuléieren	ɑkymylɜɪ̯əʁən
Achterbunn	ɑχtɐbun
achtkanteges	ɑχtkɑntəʑəs
achzeg	ɑχt͡səɕ
acompte	ɑkɑ̃ːnt
acomptë	ɑkɑ̃ːntə
acompten	ɑkɑ̃ːntən
acompter	ɑkɑ̃ːntɐ
acquis	ɑkiː
Acquise	ɑkiːə
Acquisen	ɑkiːən
acquisitioun	ɑkizit͡sjəʊ̯n
acquittéiere	ɑkitɜɪ̯əʁə
acteur	ɑktœːʁ
Acteure	ɑktœːʁə
actionnairinne	ɑksjoːnɛːʁinə
äddi	ædiː
äddie	ædiːə
äddien	ædiːən
adeleg	aːdələɕ
adelege	aːdələʑə
adequaatst	ɑdekwaːt͡st
adequaatste	ɑdekwaːt͡stə
adhésioun	ɑtheːzjəʊ̯n
Adjektiv	ɑtjektiːf
adjoint	ɑd͡ʒwɛ̃ː
adjointë	ɑd͡ʒwɛ̃ːə
adjointe	ɑd͡ʒwɛ̃ːnt
adjointeë	ɑd͡ʒwɛ̃ːntə
adjointeën	ɑd͡ʒwɛ̃ːntən
adjointen	ɑd͡ʒwɛ̃ːən
adjutant	ɑd͡ʒuːtɑnt
adjutante	ɑd͡ʒuːtɑntə
adjutanten	ɑd͡ʒuːtɑntən
adjutantin	ɑd͡ʒuːtɑntin
adjutantinne	ɑdjuːtɑntinə
adjutantinne	ɑd͡ʒuːtɑntinə
adjutantinnen	ɑd͡ʒuːtɑntinən
Adler	aːdlɐ
admirolinne	aːtmiʁoːlinə
Adolphe	ɑdolf
adoptéiere	ɑdoptɜɪ̯əʁə
adoptéieren	ɑdoptɜɪ̯əʁən
adoptiounsfamill	ɑdoptjəʊ̯nsfɑmil
adoptiounsfamille	ɑdoptjəʊ̯nsfɑmilə
adoptivjongen	ɑdoptiːfjoŋən
adoptivkand	ɑdoptiːfkɑnt
adoptivmamme	ɑdoptiːfmɑmə
Adress	ɑdʁæs
adressate	ɑdʁæsɑt
adresséiere	ɑdʁæsɜɪ̯əʁə
adresséieren	ɑdʁæsɜɪ̯əʁən
adriatesches	ɑdʁjaːtəʃəs
Adventskalenner	ɑdvænt͡skɑlænɐ
Ae	aːə
Aen	aːən
aendeckel	aːəndækəl
aendokter	aːəndoktɐ
äerd	ɛːɐt
Äerdbier	ɛːɐtbiɐ̯
Äerdbiewe	ɛːɐtbiə̯və
Äerdbiewen	ɛːɐtbiə̯vən
äerdeg	ɛːɐdəɕ
äerdejoer	ɛːɐdəjoːɐ
Aerobic	ɛːʁobik
aerodynamesch	ɛːʁoːdinaːməʃ
aerodynamik	aːəʁoːdinɑmik
äert	ɛːɐt
af	aːf
afaalt	ɑfaːlt
afalen	ɑfaːlən
Afe	aːfə
afeger	aːfəʑɐ
afegst	aːfəɕst
afegste	aːfəɕstə
afëllen	ɑfələn
afen	aːfən
Affär	ɑfɛːʁ
Affekot	ɑfəkoːt
affekotecabinet	ɑfəkoːtəkɑbineː
affekotinne	ɑfəkoːtinə
Affer	ɑfɐ
affere	ɑfəʁə
afferen	ɑfəʁən
Afferstack	ɑfɐʃtɑk
affichagë	ɑfiʃaːʒə
Affinitéit	ɑfinitɜɪ̯t
affirmativem	ɑfiʁmɑtiːvəm
affisch	ɑfiʃ
affischéiere	ɑfiʃɜɪ̯əʁə
affischéieren	ɑfiʃɜɪ̯əʁən
Afganistan	ɑfɡaːnistaːn
afoul	ɑfəʊ̯l
afoulen	ɑfəʊ̯lən
afouls	ɑfəʊ̯ls
afoult	ɑfəʊ̯lt
afüge	ɑfyːʑə
afügen	ɑfyːʑən
Agank	ɑɡɑŋk
agebaute	ɑɡəbæːʊ̯t
agebilt	ɑɡəbilt
agebilte	ɑɡəbiltə
agebilten	ɑɡəbiltən
Agebuerene	ɑɡəbuə̯ʁənə
agebuerenen	ɑɡəbuə̯ʁənən
agecheckt	ɑɡet͡ʃækt
agecheckte	ɑɡet͡ʃæktə
agechecktem	ɑɡet͡ʃæktəm
agenda	ɑʒændaː
agentinne	ɑɡæntinə
agestoe	ɑɡəʃtoːə
agestoen	ɑɡəʃtoːən
agoe	ɑɡoːə
agoen	ɑɡoːən
agréabel	ɑɡʁeaːbəl
agreabele	ɑɡʁeaːbələ
agreabelem	ɑɡʁeaːbələm
ähnlech	ɛːnləɕ
ahor	aːoːʁ
ahorn	aːhɔʁn
ahorne	aːhɔʁnə
aide	ɛːt
Aiden	ɛːdən
Aids	ɜɪ̯t͡s
äis	æːɪ̯s
äisbier	æːɪ̯sbiɐ̯
äiseg	æːɪ̯zəɕ
äisege	æːɪ̯zəʑə
äisegem	æːɪ̯zəʑəm
äisegen	æːɪ̯zəʑən
äiser	æːɪ̯zɐ
äiskal	æːɪ̯skaːl
äiskonschtleeferinne	æːɪ̯skonʃtleːfəʁinə
äisschongfuere	æːɪ̯sʃoŋfuə̯ʁə
äisschongfueren	æːɪ̯sʃoŋfuə̯ʁən
ajustéiere	ɑʒystɜɪ̯əʁə
ajustéieren	ɑʒystɜɪ̯əʁən
akachs	ɑkɑχs
akacht	ɑkɑχt
akademikerinne	ɑkaːdeːmikəʁinə
akaf	ɑkaːf
akafe	ɑkaːfə
akafen	ɑkaːfən
akafskuerf	ɑkaːfskuə̯f
akafsweenche	ɑkaːfsveːnɕə
akafsweenchen	ɑkaːfsveːnɕən
akaul	aːkɑʊ̯l
Akkord	ɑkɔχt
Akkorden	ɑkɔʁdən
Akkordeon	ɑkɔʁdeːɑ̃ː
akkordeone	ɑkɔʁdeːɑ̃ːə
akkordeonen	ɑkɔʁdeːɑ̃ːən
akkordeonistinne	ɑkoʁdeːonistinə
Akku	ɑkuː
akkue	ɑkuːə
Akkuen	ɑkuːən
aklamme	ɑklɑmə
aklammen	ɑklɑmən
aklemme	ɑklæmə
aklemmen	ɑklæmən
akrobat	ɑkʁoːbaːt
akrobat	ɑkʁobaːt
akrobate	ɑkʁoːbaːtə
Akrobaten	ɑkʁoːbaːtən
akrobatinne	ɑkʁoːbaːtinə
Akt	ɑkt
Aktie	ɑksjə
Aktien	ɑksjən
aktionärinne	ɑksjoːnɛːʁinə
Aktioun	ɑksjəʊ̯n
aktiv	ɑktiːf
aktiven	ɑktiːvən
aktiver	ɑktiːvɐ
aktivistinne	ɑktivistinə
Aktivitéit	ɑktivitɜɪ̯t
aktuell	ɑktwæl
al	aːl
aläert	ɑlɛːɐt
Alain	ɑlɛ̃ː
Alarm	ɑlɑʁm
album	ɑlbum
ale	aːlə
alen	aːlən
alertéiere	ɑlæʁtɜɪ̯əʁə
alertéieren	ɑlæʁtɜɪ̯əʁən
alg	ɑlɕ
alge	ɑlʑə
Algen	ɑlʑən
alibien	aːlibiːən
aliichte	ɑliːɕtə
aliichten	ɑliːɕtən
Alkohol	ɑlkohoːl
Alkohol	ɑlkohol
alkohole	ɑlkohoːlə
alkoholikerinne	ɑlkohoːlikəʁinə
all	ɑl
allebéid	ɑləbɜɪ̯t
alleguer	ɑləɡuɐ
Allergië	ɑlæʁʒiːə
Allergien	ɑlæʁʒiːən
Allerhellge	ɑlɐhælʑə
Allerhellgen	ɑlɐhælʑən
allerlee	ɑlɐleː
Allerséile	ɑlɐzɜɪ̯lə
Allerséilen	ɑlɐzɜɪ̯lən
alles	ɑləs
allgemeng	ɑlɡəmæŋ
Allianz	ɑljɑnt͡s
allianze	ɑljɑnt͡sə
Allianzen	ɑljɑnt͡sən
Alliéierten	ɑljɜɪ̯ɐtən
Alliéierter	ɑljɜɪ̯ɐtɐ
Allo	ɑloː
allür	ɑlyːʁ
allüre	ɑlyːʁ
allure	ɑlyːʁə
allurë	ɑlyːʁə
alluren	ɑlyːʁən
almose	ɑlmoːzə
almosen	ɑlmoːzən
almoudesch	aːlməʊ̯dəʃ
alpinistinne	ɑlpinistinə
als	ɑls
also	ɑlzoː
Alstad	aːlʃtaːt
alter	ɑltɐ
alternativ	ɑltɛɐnɑtiːf
altertum	ɑltɐtum
Altesse	ɑltæs
altessen	ɑltæsən
aluede	ɑluə̯də
alueden	ɑluə̯dən
Aluminium	ɑlyminjum
am	ɑm
amaache	ɑmaːχə
amaachen	ɑmaːχən
amaachglas	ɑmaːχɡlaːs
Amant	ɑmɑ̃ː
amante	ɑmɑ̃ːə
amanten	ɑmɑ̃ːən
amass	ɑmɑs
Amateur	ɑmɑtœːʁ
Ambassad	ɑmbɑsaːt
ambassadë	ɑ̃ːmbɑsaːdə
Ambassade	ɑ̃ːmbɑsaːt
Ambassaden	ɑ̃ːmbɑsaːdən
ambassadeur	ɑ̃ːmbɑsɑdœːʁ
ambigu	ɑ̃ːmbiɡyː
ambigue	ɑ̃ːmbiɡyːə
ambiguem	ɑ̃ːmbiɡyːəm
ambiguen	ɑ̃ːmbiɡyːən
ambiguitéit	ɑ̃ːmbiɡyːitɜɪ̯t
ambiguitéite	ɑ̃ːmbiɡyːitɜɪ̯t
ambiguitéiten	ɑ̃ːmbiɡyːitɜɪ̯tən
ambitiéis	ɑ̃ːmbisjɜɪ̯s
ambitiéise	ɑ̃ːmbisjɜɪ̯zə
Ambulanz	ɑmbulɑnt͡s
améchs	ɑməɕs
amelioratioun	ɑmeljoːʁɑt͡sjəʊ̯n
Amen	aːmən
amenagéiere	ɑmenaːʒɜɪ̯əʁə
amenagéieren	ɑmenaːʒɜɪ̯əʁən
amendéier	ɑmɑ̃ːndɜɪ̯ɐ
amendéieren	ɑmɑ̃ːndɜɪ̯əʁən
Amendement	ɑmɑ̃ːndəmɑ̃ː
ament	ɑmænt
Amerika	ɑmeːʁikaː
amësche	ɑməʃə
amëschen	ɑməʃən
ameséiere	ɑməzɜɪ̯əʁə
ameséieren	ɑməzɜɪ̯əʁən
amgaang	ɑmɡaːŋ
amicalle	ɑmikɑlə
amicallen	ɑmikɑlən
amnestie	ɑmnæstiː
amnestië	ɑmnæstiːə
Amok	ɑmok
amokleeferinne	ɑmokleːfəʁinə
amortiséiere	ɑmɔʁtizɜɪ̯əʁə
amortiséieren	ɑmɔʁtizɜɪ̯əʁən
amortisseur	ɑmɔʁtisœːʁ
amplaz	ɑmplaːt͡s
ampull	ɑmpul
amusant	ɑmuzɑnt
amusantem	ɑmuzɑntəm
amüsantem	ɑmysɑntəm
amüsantst	ɑmysɑnt͡st
amusantste	ɑmuzɑnt͡stə
Amusement	ɑmuzəmænt
an	ɑn
anachronismen	ɑnɑkʁonismən
analoger	ɑnaːloːʁɐ
Analogie	ɑnaːloːʒiː
analogië	ɑnaːloːʒiːə
analogië	ɑnaːloʒiːə
analogien	ɑnaːloːʒiːən
analoogt	ɑnaːloːχt
analphabet	ɑnɑlfaːbeːt
analphabete	ɑnɑlfaːbeːtə
Analphabeten	ɑnɑlfaːbeːtən
Analphabetin	ɑnaːlfaːbeːtin
analphabetinne	ɑnaːlfaːbətinə
analyse	ɑnaːliːzə
analytikerinne	ɑnaːlitikəʁinə
Ananas	ɑnɑnaːs
Anarchie	ɑnɑʁɕiə̯
anarchistinne	ɑnaːʁɕistinə
anäscheren	ɑnæʃəʁən
anästhesie	ɑnɛːsteːziː
anästhesië	ɑnɛːsteːziːə
anästhesistinne	ɑnɛːsteːsistinə
anchecken	ɑnt͡ʃækən
anchoisen	ɑ̃ːʃwɑən
Anekdot	ɑnækdoːt
aneneen	ɑnəneːn
aner	aːnɐ
anere	aːnəʁə
aneren	aːnəʁən
anescht	aːnəʃt
angab	ɑnɡaːp
Angabe	ɑnɡaːbə
angine	ɑ̃ːʒin
anginne	ɑ̃ːʒinə
Angscht	ɑŋʃt
ängschtlech	æŋʃtləɕ
Animateur	ɑnimɑtœːʁ
animéiere	ɑnimɜɪ̯əʁə
animéieren	ɑnimɜɪ̯əʁən
Anker	ɑŋkɐ
ännere	ænəʁə
änneren	ænəʁən
Ännerung	ænəʁuŋ
anniichter	ɑniːɕtɐ
anniversaire	ɑniːvæʁsɛːʁ
anniversairë	ɑniːvæʁsɛːʁə
Anniversairen	ɑniːvæʁsɛːʁən
annonce	ɑnɑ̃ːs
annoncéiere	ɑnɑ̃ːsɜɪ̯əʁə
annoncéieren	ɑnɑ̃ːsɜɪ̯əʁən
annuléiere	ɑnylɜɪ̯əʁə
annuléieren	ɑnylɜɪ̯əʁən
Anomalie	ɑnomaːliː
anomalië	ɑnomaːliːə
anonymmen	ɑnonimən
anorak	ɑnoʁɑk
anormal	ɑnɔʁmaːl
anotems	ɑnoːtəms
anotemt	ɑnoːtəmt
Antenn	ɑntæn
Antenne	ɑ̃ːntænə
Antennen	ɑ̃ːntænən
antëscht	ɑntəʃt
antibiotique	ɑntiːbjotik
antibiotiquë	ɑntiːbjotikə
antibiotiquen	ɑntiːbjotikən
anticke	ɑntikə
antickem	ɑntikəm
antik	ɑntiːk
antik	ɑntik
antikst	ɑntikst
antippe	ɑntipə
antippen	ɑntipən
antisemitesch	ɑntiːzeːmitəʃ
antisemitinne	ɑntiːzeːmitinə
antivol	ɑ̃ːntivol
antriichtere	ɑntʁiːɕtəʁə
antriichteren	ɑntʁiːɕtəʁən
äntwere	æntvəʁə
äntweren	æntvəʁən
äntwert	æntvɐt
anzeblende	ɑnt͡səblændə
anzeblenden	ɑnt͡səblændən
anzeblenne	ɑnt͡səblænə
anzeblennen	ɑnt͡səblænən
anzebrénge	ɑnt͡səbʁeŋə
anzebréngen	ɑnt͡səbʁeŋən
anzebrenne	ɑnt͡səbʁænə
anzesange	ɑnt͡səzɑŋə
anzwousch	ɑnt͡swəʊ̯ʃ
apaart	ɑpaːʁt
apake	ɑpaːkə
apaken	ɑpaːkən
Apdikt	ɑpdikt
Apdikter	ɑpdiktɐ
Apel	aːpəl
apendelen	ɑpəndələn
aperhoer	aːpɐhoːɐ
Apostel	ɑpostəl
apostele	ɑpostələ
Apostroph	ɑpostʁof
Apparat	ɑpɑʁaːt
Appartement	ɑpɑʁtəmænt
Äppelbam	æpəlbaːm
Äppeljus	æpəlʒyː
Appetit	ɑpətit
appetitlech	ɑpətitləɕ
Applaus	ɑplɑʊ̯s
approche	ɑpʁoʃ
approchë	ɑpʁoʃə
Approchen	ɑpʁoʃən
approuvéiere	ɑpʁuvɜɪ̯əʁə
approuvéieren	ɑpʁuvɜɪ̯əʁən
approximatiivt	ɑpʁoksimɑtiːft
approximativ	ɑpʁoksimɑtiːf
approximative	ɑpʁoksimaːtiːvə
appui	ɑpɥiː
apräägs	ɑpʁɛːɕs
aprägen	ɑpʁɛːʑən
aprikos	ɑpʁikoːs
Aquaplaning	ɑkwaːplaːniŋ
Aquarium	ɑkwaːʁium
äquator	eːkwaːtoːʁ
är	ɛːʁ
arabesch	ɑʁaːbəʃ
araume	ɑʁɑʊ̯mə
araumen	ɑʁɑʊ̯mən
Arbitter	ɑʁbitɐ
arbitterinne	ɑʁbitəʁinə
arcadë	ɑʁkaːdə
Arcade	ɑʁkaːt
arcaden	ɑʁkaːdən
archaesch	ɑʁkaːəʃ
archaeschen	ɑʁkaːəʃən
archeolog	ɑʁkeːoːloːk
archeologe	ɑʁkeːoːloːɡə
Archeologen	ɑʁkeːoːloːɡən
archeologinne	ɑʁkeːoːloːɡinə
Architekt	ɑʁʃitækt
architektinne	ɑʁɕitæktinə
Architektur	ɑʁɕitæktuːɐ
architekture	ɑʁɕitæktuːʁə
architekturen	ɑʁɕitæktuːʁən
Archiv	ɑʁɕiːf
Archive	ɑʁɕivə
archivistinne	ɑʁɕivistinə
äre	ɛːʁə
arem	aːʁəm
ären	ɛːʁən
arenne	ɑʁænə
arennen	ɑʁænən
ärer	ɛːʁɐ
ariichte	ɑʁiːɕtə
ariichten	ɑʁiːɕtən
aristokratinne	ɑʁistokʁaːtinə
Arméi	ɑʁmɜɪ̯
Arrêt	ɑʁɛː
arrêté	ɑʁeːteː
Arrête	ɑʁɛːə
arrêtéë	ɑʁeːteːə
Arrêtéen	ɑʁeːteːən
Arrêten	ɑʁɛːən
arrivée	ɑʁiveː
arrogant	ɑʁoːɡɑnt
arrogante	ɑʁoːɡɑntə
arterie	ɑʁteːʁjə
arterien	ɑʁteːʁjən
Arthrite	ɑʁtʁit
artichaut	ɑʁtiʃoː
Artikel	ɑʁtikəl
artist	ɑʁtist
artisteschste	ɑʁtistəʃstə
artisteschstem	ɑʁtistəʃstəm
artisteschsten	ɑʁtistəʃstən
artisteschster	ɑʁtistəʃstɐ
artistinne	ɑʁtistinə
asammele	ɑzɑmələ
asammelen	ɑzɑmələn
asazfäegster	ɑzaːt͡sfɛːəɕstɐ
asazfäegt	ɑzaːt͡sfɛːəɕt
asazfäheg	ɑzaːt͡sfɛːəɕ
Äsche	æʃə
äschebecher	æʃəbæɕɐ
Äschen	æʃən
äschenteller	æʃəntælɐ
aschloe	ɑʃloːə
aschloen	ɑʃloːən
aschlofe	ɑʃloːfə
aschlofen	ɑʃloːfən
aspaans	ɑʃpaːns
aspaant	ɑʃpaːnt
aspäre	ɑʃpɛːʁə
aspären	ɑʃpɛːʁən
Aspekt	ɑspækt
Aspro	ɑspʁoː
assistentinne	ɑsistæntinə
assitant	ɑsistɑ̃ː
Associé	ɑsosieː
associée	ɑsosjeː
associéë	ɑsosjeːə
associéeë	ɑsosjeːə
associéeën	ɑsosjeːən
Assurance	ɑsyʁɑ̃ːs
assuréiere	ɑsyʁɜɪ̯əʁə
assuréieren	ɑsyʁɜɪ̯əʁən
astéings	ɑʃtɜɪ̯ŋs
astéingt	ɑʃtɜɪ̯ŋt
astelle	ɑʃtælə
astellen	ɑʃtælən
ästhet	æsteːt
Asthma	ɑstmaː
astouch	ɑʃtəʊ̯χ
astoungen	ɑʃtəʊ̯ŋən
astoungs	ɑʃtəʊ̯ŋs
astrolog	ɑstʁoloːχ
astrologe	ɑstʁoloːʁə
astrologen	ɑstʁoloːʁən
astrologinne	ɑstʁoloːɡinə
Astronaut	ɑstʁonɑʊ̯t
astronautinne	ɑstʁonɑʊ̯tinə
asylantinne	ɑsilɑntinə
atelier	ɑtəlieː
atelier	ɑtəljeː
Ateliere	ɑtəljeːə
atheistinne	ɑteːistinə
athlet	ɑtleːt
athletinne	ɑtleːtinə
Atlas	ɑtlɑs
Atom	ɑtoːm
Atomreakter	ɑtoːmʁeɑktɐ
atoute	ɑtuːə
Atouten	ɑtuːən
Attentat	ɑtəntaːt
Attentater	ɑtəntaːtɐ
attentäterinne	ɑtɑ̃ːtɛːtəʁinə
atter	ɑtɐ
Attitude	ɑtityːt
attitudë	ɑtitydə
Attraktioun	ɑtʁɑksjəʊ̯n
aubergine	oːbɛʁʒin
auberginne	oːbɛʁʒinə
auder	ɑʊ̯dɐ
Audienz	ɑʊ̯djænt͡s
audienze	ɑʊ̯djænt͡sə
audiovisuell	ɑʊ̯djoːviːzwæl
Auditoire	oːditwaːʁ
auditoirë	oːditwaːʁə
auer	ɑʊ̯ɐ
auermécher	ɑʊ̯ɐməɕɐ
Aufgab	ɑʊ̯fɡaːp
Aufsatz	ɑʊ̯fsɑt͡s
August	ɑʊ̯ɡust
aus	æːʊ̯s
ausbaue	æːʊ̯sbɑʊ̯ə
ausbauen	æːʊ̯sbɑʊ̯ən
ausbehale	æːʊ̯sbəhaːlə
ausbehalen	æːʊ̯sbəhaːlən
ausdeele	æːʊ̯sdeːlə
ausdeelen	æːʊ̯sdeːlən
ausdoe	æːʊ̯sdoːə
ausdoen	æːʊ̯sdoːən
ausdrécke	æːʊ̯sdʁekə
ausdrécken	æːʊ̯sdʁekən
Ausdrock	æːʊ̯sdʁok
auserhéngert	æːʊ̯zɐheŋɐt
ausernee	æːʊ̯zɐneː
auserneen	æːʊ̯zɐneːn
ausféiere	æːʊ̯sfɜɪ̯əʁə
ausféieren	æːʊ̯sfɜɪ̯əʁən
ausfëlle	æːʊ̯sfələ
ausfëllen	æːʊ̯sfələn
Ausflug	æːʊ̯sfluχ
Ausgab	æːʊ̯sɡaːp
ausgebeut	æːʊ̯sɡəboɪt
ausgebeute	æːʊ̯sɡəboɪtə
ausgerechent	æːʊ̯sɡəʁæɕənt
ausgesinn	æːʊ̯sɡəzin
ausginn	æːʊ̯sɡin
ausgoe	æːʊ̯sɡoːə
ausgoen	æːʊ̯sɡoːən
aushéngere	æːʊ̯sheŋəʁə
aushéngeren	æːʊ̯sheŋəʁən
aushoul	æːʊ̯shəʊ̯l
aushoulen	æːʊ̯shəʊ̯lən
aushouls	æːʊ̯shəʊ̯ls
aushoult	æːʊ̯shəʊ̯lt
aushoung	æːʊ̯shəʊ̯ŋ
aushoungen	æːʊ̯shəʊ̯ŋən
auskräischs	æːʊ̯skʁæːɪ̯ʃs
auslafe	æːʊ̯slaːfə
auslafen	æːʊ̯slaːfən
Ausland	æːʊ̯slɑnt
Auslänner	æːʊ̯slænɐ
Auslännerinne	æːʊ̯slænəʁinə
auslännesch	æːʊ̯slænəʃ
auslous	æːʊ̯sləʊ̯s
auslouse	æːʊ̯sləʊ̯s
auslousen	æːʊ̯sləʊ̯zən
ausloust	æːʊ̯sləʊ̯st
ausluede	æːʊ̯sluə̯də
auslueden	æːʊ̯sluə̯dən
ausmaache	æːʊ̯smaːχə
ausmaachen	æːʊ̯smaːχən
Ausnahm	æːʊ̯snaːm
ausnotze	æːʊ̯snot͡sə
ausnotzen	æːʊ̯snot͡sən
auspäife	æːʊ̯spæːɪ̯fə
auspäifen	æːʊ̯spæːɪ̯fən
auspéile	æːʊ̯spɜɪ̯lə
auspéilen	æːʊ̯spɜɪ̯lən
Auspuff	æːʊ̯spuf
ausraibere	æːʊ̯sʁɑɪ̯bəʁə
ausraiberen	æːʊ̯sʁɑɪ̯bəʁən
ausraume	æːʊ̯sʁɑʊ̯mə
ausraumen	æːʊ̯sʁɑʊ̯mən
ausrechne	æːʊ̯sʁæɕnə
ausrechnen	æːʊ̯sʁæɕnən
ausrësele	æːʊ̯sʁəzələ
ausrëselen	æːʊ̯sʁəzələn
ausrësserinne	æːʊ̯sʁəsəʁinə
ausriede	æːʊ̯sʁiə̯də
Ausrieden	æːʊ̯sʁiə̯dən
ausrifferinne	æːʊ̯sʁifəʁinə
ausroue	æːʊ̯sʁəʊ̯ə
ausrouen	æːʊ̯sʁəʊ̯ən
ausrutsche	æːʊ̯sʁut͡ʃə
ausrutschen	æːʊ̯sʁut͡ʃən
ausschëdde	æːʊ̯sʃədə
ausschëdden	æːʊ̯sʃədən
ausschlaggebend	æːʊ̯sʃlaːχɡeːbənt
ausschlaggebende	æːʊ̯sʃlaːχɡeːbəndə
ausschlaggebendem	æːʊ̯sʃlaːχɡeːbəndəm
ausschlaggebenden	æːʊ̯sʃlaːχɡeːbəndən
ausschlofe	æːʊ̯sʃloːfe
ausschlofen	æːʊ̯sʃloːfen
Ausschnëtt	æːʊ̯sʃnət
ausseministerinne	æːʊ̯səministəʁinə
ausser	æːʊ̯sɐ
aussergewéinlech	æːʊ̯sɐɡəvɜɪ̯nləɕ
äusserlech	oɪsɐləɕ
ausseruerdentlech	æːʊ̯sɐuɐdəntləɕ
ausseruerdentleche	æːʊ̯sɐuɐdəntləɕə
ausseruerdentlechem	æːʊ̯sɐuɐdəntləɕəm
ausseruerdentlechen	æːʊ̯sɐuɐdəntləɕən
ausseruerdentlecher	æːʊ̯sɐuɐdəntləɕɐ
ausseruerdentlechst	æːʊ̯sɐuɐdəntləɕst
äusserung	oɪsɐʁuŋ
aussesäiterinne	æːʊ̯szəzæːɪ̯təʁinə
Ausso	æːʊ̯szoː
ausspane	æːʊ̯sʃpaːnə
ausspanen	æːʊ̯sʃpaːnən
aussprieche	æːʊ̯sʃpʁiə̯ɕə
ausspriechen	æːʊ̯sʃpʁiə̯ɕən
Aussprooch	æːʊ̯sʃpʁoːχ
ausstelle	æːʊ̯sʃtælə
ausstellen	æːʊ̯sʃtælən
ausstellerinne	æːʊ̯sʃtæləʁinə
Ausstellung	æːʊ̯sʃtæluŋ
Ausstierwe	æːʊ̯sʃtiə̯və
ausstierwen	æːʊ̯sʃtiə̯vən
auswäiche	æːʊ̯svæːɪ̯ɕə
auswäichen	æːʊ̯svæːɪ̯ɕən
auswanderinne	æːʊ̯svɑndəʁinə
auswenneg	æːʊ̯svænəɕ
auswësche	æːʊ̯svəʃə
auswëschen	æːʊ̯svəʃən
Auswiel	æːʊ̯sviə̯l
auszedoe	æːʊ̯st͡sədoːə
auszepake	æːʊ̯st͡səpaːkə
autant	oːtɑ̃ː
