Form	Pronunciation
abattant	a.ba.ˈtã
abatte	a.ˈbat
abattement	a.ba.tə.ˈmã
abattements	a.ba.tə.ˈmã
abattent	a.ˈbat
abattez	a.ba.ˈte
abattirent	a.ba.ˈtiʁ
abattis	a.ba.ˈti
abattit	a.ba.ˈti
abattoir	a.ba.ˈtwaʁ
abattoirs	a.ba.ˈtwaʁ
abattra	a.ba.ˈtʁa
abattraient	a.ba.ˈtʁɛ
abattrait	a.ba.ˈtʁɛ
abattre	a.ba.ˈtʁə
abattront	a.ba.ˈtʁõ
abattu	a.ba.ˈty
abattue	a.ba.ˈty
abattues	a.ba.ˈty
abattus	a.ba.ˈty
abbas	a.ˈbas
abbatiale	a.ba.ˈsjal
abbatiales	a.ba.ˈsjal
abbaye	a.bɛ.ˈi
abbayes	a.bɛ.ˈi
abbe	ab
abbes	ab
abbesse	a.ˈbɛs
abbesses	a.ˈbɛs
abc	a.be.ˈse
abces	abs
abdallah	a.bda.ˈla
abdel	a.ˈbdɛl
abdelkader	a.bdel.ka.ˈdɛʁ
abdellatif	a.bde.la.ˈtif
abdication	a.bdi.ka.ˈsjõ
abdications	a.bdi.ka.ˈsjõ
abdiqua	a.bdi.ˈka
abdiquant	a.bdi.ˈkã
abdique	a.ˈbdik
abdiquent	a.ˈbdik
abdiquer	a.bdi.ˈke
abdiquera	a.bdi.kə.ˈʁa
abdomen	a.bdɔ.ˈmɛn
abdominale	a.bdɔ.mi.ˈnal
abdominales	a.bdɔ.mi.ˈnal
abdominaux	a.bdɔ.mi.ˈno
abdou	a.ˈbdu
abdul	a.ˈbdul
abe	ab
abeba	a.be.ˈba
abecedaire	a.bə.sə.ˈdɛʁ
abecedaires	a.bə.sə.ˈdɛʁ
abeche	a.ˈbəʃ
abeille	a.ˈbɛj
abeilles	a.ˈbɛj
abel	a.ˈbɛl
aber	a.ˈbɛʁ
aberdeen	a.bɛʁ.ˈdin
aberrant	a.bɛ.ˈʁã
aberrante	a.bɛ.ˈʁãt
aberrantes	a.bɛ.ˈʁãt
aberrants	a.bɛ.ˈʁã
aberration	a.bɛ.ʁa.ˈsjõ
aberrations	a.bɛ.ʁa.ˈsjõ
abers	a.ˈbɛʁ
abetir	a.bə.ˈtiʁ
abhorrait	a.bɔ.ˈʁɛ
abhorrant	a.bɔ.ˈʁã
abhorre	a.ˈbɔʁ
abhorree	a.bɔ.ˈʁi
abhorrees	a.bɔ.ˈʁi
abhorrent	a.ˈbɔʁ
abhorres	a.ˈbɔʁ
abidine	a.bi.ˈdin
abidjan	a.bi.ˈdʒã
abimait	a.bi.ˈmɛ
abime	a.ˈbim
abimee	a.bi.ˈmi
abimees	a.bi.ˈmi
abiment	a.bi.ˈmã
abimer	a.bi.ˈme
abimes	a.ˈbim
abject	a.bʒɛ.ˈktə
abjecte	a.bʒɛ.ˈktə
abjectes	a.bʒɛ.ˈktə
abjection	a.bʒɛ.ˈksjõ
abjections	a.bʒɛ.ˈksjõ
abjects	a.bʒɛ.ˈktə
abjurant	a.bʒy.ˈʁã
abjuration	a.bʒy.ʁa.ˈsjõ
abjure	a.ˈbʒyʁ
abjurer	a.bʒy.ˈʁe
ablation	a.bla.ˈsjõ
ablations	a.bla.ˈsjõ
ablettes	a.ˈblɛt
ablution	a.bly.ˈsjõ
ablutions	a.bly.ˈsjõ
abnegation	a.bnə.ɡa.ˈsjõ
aboie	a.ˈbwa
aboiement	a.bwa.ˈmã
aboiements	a.bwa.ˈmã
aboient	a.ˈbwa
abois	a.ˈbwa
aboli	a.bɔ.ˈli
abolie	a.bɔ.ˈli
abolies	a.bɔ.ˈli
abolir	a.bɔ.ˈliʁ
abolira	a.bɔ.li.ˈʁa
abolirait	a.bɔ.li.ˈʁɛ
abolis	a.bɔ.ˈli
abolissait	a.bɔ.li.ˈsɛ
abolissant	a.bɔ.li.ˈsã
abolisse	a.bɔ.ˈlis
abolissent	a.bɔ.ˈlis
abolit	a.bɔ.ˈli
abolition	a.bɔ.li.ˈsjõ
abolitionnisme	a.bɔ.li.sjɔ.ni.ˈsmə
abolitionniste	a.bɔ.li.sjɔ.nis.ˈtə
abolitionnistes	a.bɔ.li.sjɔ.nis.ˈtə
abominable	a.bɔ.mi.na.ˈblə
abominablement	a.bɔ.mi.na.blə.ˈmã
abominables	a.bɔ.mi.na.ˈblə
abomination	a.bɔ.mi.na.ˈsjõ
abominations	a.bɔ.mi.na.ˈsjõ
abonda	a.bõ.ˈda
abondaient	a.bõ.ˈdɛ
abondait	a.bõ.ˈdɛ
abondamment	a.bõ.da.ˈmã
abondance	a.bõ.ˈdãs
abondances	a.bõ.ˈdãs
abondant	a.bõ.ˈdã
abondante	a.bõ.ˈdãt
abondantes	a.bõ.ˈdãt
abondants	a.bõ.ˈdã
abonde	a.ˈbõd
abondent	a.ˈbõd
abonder	a.bõ.ˈde
abondera	a.bõ.də.ˈʁa
abonnant	a.bɔ.ˈnã
abonne	a.ˈbɔn
abonnee	a.bɔ.ˈni
abonnees	a.bɔ.ˈni
abonnement	a.bɔ.nə.ˈmã
abonnements	a.bɔ.nə.ˈmã
abonnent	a.ˈbɔn
abonner	a.bɔ.ˈne
abonnes	a.ˈbɔn
abord	a.ˈbɔʁ
aborda	a.bɔʁ.ˈda
abordable	a.bɔʁ.da.ˈblə
abordables	a.bɔʁ.da.ˈblə
abordage	a.bɔʁ.ˈdaʒ
abordages	a.bɔʁ.ˈdaʒ
abordaient	a.bɔʁ.ˈdɛ
abordait	a.bɔʁ.ˈdɛ
abordant	a.bɔʁ.ˈdã
aborde	a.bɔʁ.ˈdə
abordee	a.bɔʁ.ˈdi
abordees	a.bɔʁ.ˈdi
abordent	a.bɔʁ.ˈdə
aborder	a.bɔʁ.ˈde
abordera	a.bɔʁ.də.ˈʁa
aborderai	a.bɔʁ.də.ˈʁɛ
aborderait	a.bɔʁ.də.ˈʁɛ
aborderent	a.bɔʁ.də.ˈʁã
aborderez	a.bɔʁ.də.ˈʁe
aborderons	a.bɔʁ.də.ˈʁõ
aborderont	a.bɔʁ.də.ˈʁõ
abordes	a.bɔʁ.ˈdə
abordez	a.bɔʁ.ˈde
abordions	a.bɔʁ.ˈdjõ
abordons	a.bɔʁ.ˈdõ
abords	a.ˈbɔʁ
aborigene	a.bɔ.ʁi.ˈʒən
aborigenes	a.bɔ.ʁi.ˈʒən
abortif	a.bɔʁ.ˈtif
abortive	a.bɔʁ.ˈtiv
abortives	a.bɔʁ.ˈtiv
abou	a.ˈbu
aboulie	a.bu.ˈli
aboulique	a.bu.ˈlik
about	a.ˈbu
abouti	a.bu.ˈti
aboutir	a.bu.ˈtiʁ
aboutira	a.bu.ti.ˈʁa
aboutiraient	a.bu.ti.ˈʁɛ
aboutirait	a.bu.ti.ˈʁɛ
aboutirent	a.bu.ˈtiʁ
aboutirons	a.bu.ti.ˈʁõ
aboutiront	a.bu.ti.ˈʁõ
aboutis	a.bu.ˈti
aboutissaient	a.bu.ti.ˈsɛ
aboutissait	a.bu.ti.ˈsɛ
aboutissant	a.bu.ti.ˈsã
aboutissants	a.bu.ti.ˈsã
aboutisse	a.bu.ˈtis
aboutissement	a.bu.ti.sə.ˈmã
aboutissements	a.bu.ti.sə.ˈmã
aboutissent	a.bu.ˈtis
aboutissions	a.bu.ti.ˈsjõ
aboutissons	a.bu.ti.ˈsõ
aboutit	a.bu.ˈti
aboyait	a.bwa.ˈjɛ
aboyant	a.bwa.ˈjã
aboyer	a.bwa.ˈje
abracadabrant	a.bʁa.ka.da.ˈbʁã
abracadabrante	a.bʁa.ka.da.ˈbʁãt
abracadabrantes	a.bʁa.ka.da.ˈbʁãt
abracadabrants	a.bʁa.ka.da.ˈbʁã
abraham	a.bʁa.ˈam
abrasif	a.bʁa.ˈzif
abrasifs	a.bʁa.ˈzif
abrasive	a.bʁa.ˈziv
abrege	a.ˈbʁəʒ
abregeant	a.bʁə.ˈʒã
abregee	a.bʁə.ˈʒi
abregees	a.bʁə.ˈʒi
abregent	a.bʁə.ˈʒã
abreger	a.bʁə.ˈʒe
abreges	a.ˈbʁəʒ
abreuvaient	a.bʁə.ˈvɛ
abreuvait	a.bʁə.ˈvɛ
abreuvant	a.bʁə.ˈvã
abreuve	a.ˈbʁœv
abreuvee	a.bʁə.ˈvi
abreuvent	a.ˈbʁœv
abreuver	a.bʁə.ˈve
abreuves	a.ˈbʁœv
abreuvoir	a.bʁə.ˈvwaʁ
abreuvoirs	a.bʁə.ˈvwaʁ
abreviation	a.bʁə.vja.ˈsjõ
abreviations	a.bʁə.vja.ˈsjõ
abri	a.ˈbʁi
abribus	a.bʁi.ˈbys
abricot	a.bʁi.ˈko
abricotier	a.bʁi.kɔt.ˈje
abricotiers	a.bʁi.kɔt.ˈje
abricots	a.bʁi.ˈko
abris	a.ˈbʁi
abrita	a.bʁi.ˈta
abritaient	a.bʁi.ˈtɛ
abritait	a.bʁi.ˈtɛ
abritant	a.bʁi.ˈtã
abrite	a.ˈbʁit
abritee	a.bʁi.ˈti
abritees	a.bʁi.ˈti
abritent	a.ˈbʁit
abriter	a.bʁi.ˈte
abritera	a.bʁi.tə.ˈʁa
abriteraient	a.bʁi.tə.ˈʁɛ
abriterait	a.bʁi.tə.ˈʁɛ
abriterent	a.bʁi.tə.ˈʁã
abriteront	a.bʁi.tə.ˈʁõ
abrites	a.ˈbʁit
abrogatif	a.bʁɔ.ɡa.ˈtif
abrogation	a.bʁɔ.ɡa.ˈsjõ
abroge	a.ˈbʁɔʒ
abrogeait	a.bʁɔ.ˈʒɛ
abrogeant	a.bʁɔ.ˈʒã
abrogee	a.bʁɔ.ˈʒi
abrogees	a.bʁɔ.ˈʒi
abrogent	a.ˈbʁɔʒ
abroger	a.bʁɔ.ˈʒe
abrogera	a.bʁɔ.ʒə.ˈʁa
abrogerait	a.bʁɔ.ʒə.ˈʁɛ
abroges	a.ˈbʁɔʒ
abrupt	a.ˈbʁypt
abrupte	a.ˈbʁypt
abruptement	a.bʁy.ptə.ˈmã
abruptes	a.ˈbʁypt
abrupts	a.ˈbʁypt
abruti	a.bʁy.ˈti
abrutie	a.bʁy.ˈti
abruties	a.bʁy.ˈti
abrutir	a.bʁy.ˈtiʁ
abrutis	a.bʁy.ˈti
abrutissant	a.bʁy.ti.ˈsã
abrutissement	a.bʁy.ti.sə.ˈmã
abrutit	a.bʁy.ˈti
abscisse	a.ˈpsis
abscons	a.ˈpskõ
absconse	a.ˈpskõs
absconses	a.ˈpskõs
absence	a.ˈpsãs
absences	a.ˈpsãs
absent	a.ˈpsã
absenta	a.psã.ˈta
absentait	a.psã.ˈtɛ
absentant	a.psã.ˈtã
absente	a.ˈpsãt
absenteisme	a.psã.tɛ.ˈsmə
absentent	a.ˈpsãt
absenter	a.psã.ˈte
absentes	a.ˈpsãt
absents	a.ˈpsã
abside	a.ˈpsid
absides	a.ˈpsid
absinthe	a.ˈpsẽt
absinthes	a.ˈpsẽt
absolu	a.psɔ.ˈly
absolue	a.psɔ.ˈly
absolues	a.psɔ.ˈly
absolument	a.psɔ.ly.ˈmã
absolus	a.psɔ.ˈly
absolution	a.psɔ.ly.ˈsjõ
absolutisme	a.psɔ.ly.ti.ˈsmə
absolutismes	a.psɔ.ly.ti.ˈsmə
absolutiste	a.psɔ.ly.tis.ˈtə
absolutistes	a.psɔ.ly.tis.ˈtə
absolvant	a.psɔl.ˈvã
absolvent	a.ˈpsɔlv
absorba	a.psɔʁ.ˈba
absorbaient	a.psɔʁ.ˈbɛ
absorbait	a.psɔʁ.ˈbɛ
absorbant	a.psɔʁ.ˈbã
absorbe	a.psɔʁ.ˈbə
absorbee	a.psɔʁ.ˈbi
absorbees	a.psɔʁ.ˈbi
absorbent	a.psɔʁ.ˈbə
absorber	a.psɔʁ.ˈbe
absorbera	a.psɔʁ.bə.ˈʁa
absorberait	a.psɔʁ.bə.ˈʁɛ
absorberont	a.psɔʁ.bə.ˈʁõ
absorbes	a.psɔʁ.ˈbə
absorption	a.psɔʁ.ˈpsjõ
absorptions	a.psɔʁ.ˈpsjõ
absoudre	a.psu.ˈdʁə
absous	a.ˈpsu
absout	a.ˈpsu
absoute	a.ˈpsut
abstenaient	a.pstə.ˈnɛ
abstenait	a.pstə.ˈnɛ
abstenant	a.pstə.ˈnã
abstenir	a.pstə.ˈniʁ
abstenons	a.pstə.ˈnõ
abstention	a.pstã.ˈsjõ
abstentionnisme	a.pstã.sjɔ.ni.ˈsmə
abstentionniste	a.pstã.sjɔ.nis.ˈtə
abstentionnistes	a.pstã.sjɔ.nis.ˈtə
abstentions	a.pstã.ˈsjõ
abstenu	a.pstə.ˈny
abstenue	a.pstə.ˈny
abstenues	a.pstə.ˈny
abstenus	a.pstə.ˈny
abstiendra	a.pstjẽ.ˈdʁa
abstiendrai	a.pstjẽ.ˈdʁɛ
abstiendraient	a.pstjẽ.ˈdʁɛ
abstiendrait	a.pstjẽ.ˈdʁɛ
abstiendrons	a.pstjẽ.ˈdʁõ
abstiendront	a.pstjẽ.ˈdʁõ
abstienne	a.ˈpstjɛn
abstiennent	a.ˈpstjɛn
abstiens	a.ˈpstjẽ
abstient	a.ˈpstjẽ
abstinence	a.psti.ˈnãs
abstinents	a.psti.ˈnã
abstinrent	a.ˈpstẽʁ
abstint	a.ˈpstẽ
abstraction	a.pstʁa.ˈksjõ
abstractions	a.pstʁa.ˈksjõ
abstraire	a.ˈpstʁɛʁ
abstrait	a.ˈpstʁɛ
abstraite	a.ˈpstʁɛt
abstraitement	a.pstʁɛ.tə.ˈmã
abstraites	a.ˈpstʁɛt
abstraits	a.ˈpstʁɛ
absurde	a.psyʁ.ˈdə
absurdement	a.psyʁ.də.ˈmã
absurdes	a.psyʁ.ˈdə
absurdite	a.psyʁ.ˈdit
absurdites	a.psyʁ.ˈdit
abus	a.ˈby
abusa	a.by.ˈza
abusaient	a.by.ˈzɛ
abusait	a.by.ˈzɛ
abusant	a.by.ˈzã
abuse	a.ˈbyz
abusee	a.by.ˈzi
abusees	a.by.ˈzi
abusent	a.ˈbyz
abuser	a.by.ˈze
abusera	a.by.zə.ˈʁa
abuserait	a.by.zə.ˈʁɛ
abuserent	a.by.zə.ˈʁã
abuses	a.ˈbyz
abusif	a.by.ˈzif
abusifs	a.by.ˈzif
abusive	a.by.ˈziv
abusivement	a.by.zi.və.ˈmã
abusives	a.by.ˈziv
abusons	a.by.ˈzõ
abyssal	a.bi.ˈsal
abyssale	a.bi.ˈsal
abyssales	a.bi.ˈsal
abyssaux	a.bi.ˈso
abysse	a.ˈbis
abysses	a.ˈbis
abyssin	a.bi.ˈsẽ
abyssins	a.bi.ˈsẽ
acabit	a.ka.ˈbi
acabits	a.ka.ˈbi
acacia	a.ka.ˈsja
acacias	a.ka.ˈsja
academicien	a.ka.də.mi.ˈsjẽ
academicienne	a.ka.də.mi.ˈsjɛn
academiciens	a.ka.də.mi.ˈsjẽ
academie	a.ka.də.ˈmi
academies	a.ka.də.ˈmi
academique	a.ka.də.ˈmik
academiques	a.ka.də.ˈmik
academisme	a.ka.də.mi.ˈsmə
academismes	a.ka.də.mi.ˈsmə
acadien	a.ka.ˈdjẽ
acadienne	a.ka.ˈdjɛn
acadiennes	a.ka.ˈdjɛn
acadiens	a.ka.ˈdjẽ
acajou	a.ka.ˈʒu
acanthe	a.ˈkãt
acanthes	a.ˈkãt
acapulco	a.ka.pyl.ˈko
acariatre	a.ka.ʁja.ˈtʁə
acariatres	a.ka.ʁja.ˈtʁə
acarien	a.ka.ˈʁjẽ
acariens	a.ka.ˈʁjẽ
accabla	a.ka.ˈbla
accablaient	a.ka.ˈblɛ
accablait	a.ka.ˈblɛ
accablant	a.ka.ˈblã
accablante	a.ka.ˈblãt
accablantes	a.ka.ˈblãt
accablants	a.ka.ˈblã
accable	a.ka.ˈblə
accablee	a.ka.ˈbli
accablees	a.ka.ˈbli
accablent	a.ka.ˈblə
accabler	a.ka.ˈble
accablera	a.ka.blə.ˈʁa
accablerait	a.ka.blə.ˈʁɛ
accablerent	a.ka.blə.ˈʁã
accables	a.ka.ˈblə
accablez	a.ka.ˈble
accablons	a.ka.ˈblõ
accalmie	a.ka.ˈlmi
accalmies	a.ka.ˈlmi
accaparait	a.ka.pa.ˈʁɛ
accaparant	a.ka.pa.ˈʁã
accapare	a.ka.ˈpaʁ
accaparee	a.ka.pa.ˈʁi
accaparees	a.ka.pa.ˈʁi
accaparement	a.ka.pa.ʁə.ˈmã
accaparent	a.ka.ˈpaʁ
accaparer	a.ka.pa.ˈʁe
accapares	a.ka.ˈpaʁ
accardo	a.kaʁ.ˈdo
accastillage	a.kas.ti.ˈjaʒ
acceda	a.ksə.ˈda
accedaient	a.ksə.dɛ.ˈã
accedait	a.ksə.ˈdɛ
accedant	a.ksə.ˈdã
accedants	a.ksə.ˈdã
accede	a.ˈksəd
accedent	a.ksə.ˈdã
acceder	a.ksə.ˈde
accedera	a.ksə.də.ˈʁa
accederaient	a.ksə.də.ʁɛ.ˈã
accederait	a.ksə.də.ˈʁɛ
accederent	a.ksə.də.ˈʁã
accederont	a.ksə.də.ˈʁõ
accedons	a.ksə.ˈdõ
accelera	a.ksə.lə.ˈʁa
acceleraient	a.ksə.lə.ʁɛ.ˈã
accelerait	a.ksə.lə.ˈʁɛ
accelerant	a.ksə.lə.ˈʁã
accelerateur	a.ksə.lə.ʁa.ˈtœʁ
accelerateurs	a.ksə.lə.ʁa.ˈtœʁ
acceleration	a.ksə.lə.ʁa.ˈsjõ
accelerations	a.ksə.lə.ʁa.ˈsjõ
accelere	a.ksə.ˈləʁ
acceleree	a.ksə.lə.ˈʁi
accelerees	a.ksə.lə.ˈʁi
accelerent	a.ksə.lə.ˈʁã
accelerer	a.ksə.lə.ˈʁe
accelerera	a.ksə.lə.ʁə.ˈʁa
accelererait	a.ksə.lə.ʁə.ˈʁɛ
accelererent	a.ksə.lə.ʁə.ˈʁã
accelereront	a.ksə.lə.ʁə.ˈʁõ
acceleres	a.ksə.ˈləʁ
accelerons	a.ksə.lə.ˈʁõ
accent	a.ˈksã
accents	a.ˈksã
accentua	a.ksã.ty.ˈa
accentuaient	a.ksã.ty.ˈɛ
accentuait	a.ksã.ty.ˈɛ
accentuant	a.ksã.ty.ˈã
accentuation	a.ksã.ty.a.ˈsjõ
accentuations	a.ksã.ty.a.ˈsjõ
accentue	a.ksã.ˈty
accentuee	a.ksã.ˈtɥi
accentuees	a.ksã.ˈtɥi
accentuent	a.ksã.ˈty
accentuer	a.ksã.ˈtɥe
accentuera	a.ksã.ˈtɥʁa
accentueraient	a.ksã.ˈtɥʁɛ
accentuerait	a.ksã.ˈtɥʁɛ
accentuerent	a.ksã.ˈtɥʁã
accentueront	a.ksã.ˈtɥʁõ
accentues	a.ksã.ˈty
accepta	a.ksɛ.ˈpta
acceptabilite	a.ksɛ.pta.bi.ˈlit
acceptable	a.ksɛ.pta.ˈblə
acceptables	a.ksɛ.pta.ˈblə
acceptaient	a.ksɛ.ˈptɛ
acceptais	a.ksɛ.ˈptɛ
acceptait	a.ksɛ.ˈptɛ
acceptant	a.ksɛ.ˈptã
acceptat	a.ksɛ.ˈpta
acceptation	a.ksɛ.pta.ˈsjõ
acceptations	a.ksɛ.pta.ˈsjõ
accepte	a.ˈksɛpt
acceptee	a.ksɛ.ˈpti
acceptees	a.ksɛ.ˈpti
acceptent	a.ˈksɛpt
accepter	a.ksɛ.ˈpte
acceptera	a.ksɛ.ptə.ˈʁa
accepterai	a.ksɛ.ptə.ˈʁɛ
accepteraient	a.ksɛ.ptə.ˈʁɛ
accepterais	a.ksɛ.ptə.ˈʁɛ
accepterait	a.ksɛ.ptə.ˈʁɛ
accepterent	a.ksɛ.ptə.ˈʁã
accepterez	a.ksɛ.ptə.ˈʁe
accepteriez	a.ksɛ.ptə.ˈʁjɛ
accepterions	a.ksɛ.ptə.ˈʁjõ
accepterons	a.ksɛ.ptə.ˈʁõ
accepteront	a.ksɛ.ptə.ˈʁõ
acceptes	a.ˈksɛpt
acceptez	a.ksɛ.ˈpte
acceptiez	a.ksɛ.ˈptjɛ
acception	a.ksɛ.ˈpsjõ
acceptions	a.ksɛ.ˈpsjõ
acceptons	a.ksɛ.ˈptõ
acces	a.ˈksə
accessibilite	a.kse.si.bi.ˈlit
accessible	a.kse.si.ˈblə
accessibles	a.kse.si.ˈblə
accession	a.kse.ˈsjõ
accessit	a.kse.ˈsit
accessits	a.kse.ˈsit
accessoire	a.kse.ˈswaʁ
accessoirement	a.kse.swa.ʁə.ˈmã
accessoires	a.kse.ˈswaʁ
accessoiriste	a.kse.swa.ʁis.ˈtə
accessoiristes	a.kse.swa.ʁis.ˈtə
accident	a.ksi.ˈdã
accidente	a.ksi.ˈdãt
accidentee	a.ksi.dã.ˈti
accidentees	a.ksi.dã.ˈti
accidentel	a.ksi.dã.ˈtɛl
accidentelle	a.ksi.dã.ˈtɛl
accidentellement	a.ksi.dã.tɛ.lə.ˈmã
accidentelles	a.ksi.dã.ˈtɛl
accidentels	a.ksi.dã.ˈtɛl
accidentes	a.ksi.ˈdãt
accidents	a.ksi.ˈdã
accise	a.ˈksiz
accises	a.ˈksiz
acclamaient	a.kla.ˈmɛ
acclamait	a.kla.ˈmɛ
acclamant	a.kla.ˈmã
acclamation	a.kla.ma.ˈsjõ
acclamations	a.kla.ma.ˈsjõ
acclame	a.ˈklam
acclamee	a.kla.ˈmi
acclamees	a.kla.ˈmi
acclament	a.ˈklam
acclamer	a.kla.ˈme
acclames	a.ˈklam
acclimata	a.kli.ma.ˈta
acclimatant	a.kli.ma.ˈtã
acclimatation	a.kli.ma.ta.ˈsjõ
acclimate	a.kli.ˈmat
acclimatee	a.kli.ma.ˈti
acclimatees	a.kli.ma.ˈti
acclimatent	a.kli.ˈmat
acclimater	a.kli.ma.ˈte
acclimates	a.kli.ˈmat
accola	a.kɔ.ˈla
accolade	a.kɔ.ˈlad
accolades	a.kɔ.ˈlad
accolant	a.kɔ.ˈlã
accole	a.ˈkɔl
accolee	a.kɔ.ˈli
accolees	a.kɔ.ˈli
accolent	a.ˈkɔl
accoler	a.kɔ.ˈle
accoles	a.ˈkɔl
accommoda	a.kɔ.mɔ.ˈda
accommodaient	a.kɔ.mɔ.ˈdɛ
accommodait	a.kɔ.mɔ.ˈdɛ
accommodant	a.kɔ.mɔ.ˈdã
accommodante	a.kɔ.mɔ.ˈdãt
accommodantes	a.kɔ.mɔ.ˈdãt
accommodants	a.kɔ.mɔ.ˈdã
accommode	a.kɔ.ˈmɔd
accommodee	a.kɔ.mɔ.ˈdi
accommodees	a.kɔ.mɔ.ˈdi
accommodement	a.kɔ.mɔ.də.ˈmã
accommodements	a.kɔ.mɔ.də.ˈmã
accommodent	a.kɔ.ˈmɔd
accommoder	a.kɔ.mɔ.ˈde
accommodera	a.kɔ.mɔ.də.ˈʁa
accommoderaient	a.kɔ.mɔ.də.ˈʁɛ
accommoderait	a.kɔ.mɔ.də.ˈʁɛ
accommoderent	a.kɔ.mɔ.də.ˈʁã
accommoderont	a.kɔ.mɔ.də.ˈʁõ
accommodes	a.kɔ.ˈmɔd
accompagna	a.kõ.pa.ˈnja
accompagnaient	a.kõ.pa.ˈnjɛ
accompagnais	a.kõ.pa.ˈnjɛ
accompagnait	a.kõ.pa.ˈnjɛ
accompagnant	a.kõ.pa.ˈnjã
accompagnateur	a.kõ.pa.nja.ˈtœʁ
accompagnateurs	a.kõ.pa.nja.ˈtœʁ
accompagnatrice	a.kõ.pa.nja.ˈtʁis
accompagnatrices	a.kõ.pa.nja.ˈtʁis
accompagne	a.kõ.ˈpanj
accompagnee	a.kõ.pa.ˈnji
accompagnees	a.kõ.pa.ˈnji
accompagnement	a.kõ.pa.njə.ˈmã
accompagnements	a.kõ.pa.njə.ˈmã
accompagnent	a.kõ.ˈpanj
accompagner	a.kõ.pa.ˈnje
accompagnera	a.kõ.pa.njə.ˈʁa
accompagneraient	a.kõ.pa.njə.ˈʁɛ
accompagnerait	a.kõ.pa.njə.ˈʁɛ
accompagnerent	a.kõ.pa.njə.ˈʁã
accompagnerons	a.kõ.pa.njə.ˈʁõ
accompagneront	a.kõ.pa.njə.ˈʁõ
accompagnes	a.kõ.ˈpanj
accompagnez	a.kõ.pa.ˈnje
accompagnons	a.kõ.pa.ˈnjõ
accompli	a.kõ.ˈpli
accomplie	a.kõ.ˈpli
accomplies	a.kõ.ˈpli
accomplir	a.kõ.ˈpliʁ
accomplira	a.kõ.pli.ˈʁa
accomplirai	a.kõ.pli.ˈʁɛ
accompliraient	a.kõ.pli.ˈʁɛ
accomplirait	a.kõ.pli.ˈʁɛ
accomplirent	a.kõ.ˈpliʁ
accomplirons	a.kõ.pli.ˈʁõ
accompliront	a.kõ.pli.ˈʁõ
accomplis	a.kõ.ˈpli
accomplissaient	a.kõ.pli.ˈsɛ
accomplissait	a.kõ.pli.ˈsɛ
accomplissant	a.kõ.pli.ˈsã
accomplisse	a.kõ.ˈplis
accomplissement	a.kõ.pli.sə.ˈmã
accomplissements	a.kõ.pli.sə.ˈmã
accomplissent	a.kõ.ˈplis
accomplissions	a.kõ.pli.ˈsjõ
accomplissons	a.kõ.pli.ˈsõ
accomplit	a.kõ.ˈpli
accord	a.ˈkɔʁ
accorda	a.kɔʁ.ˈda
accordaient	a.kɔʁ.ˈdɛ
accordait	a.kɔʁ.ˈdɛ
